Complexity metrics,Wed, 17 Apr 2019 18:56:46 EDT,
Method,ev(G),iv(G),v(G)
"null.compare(Phoneme,Phoneme)",5,2,5
"null.compare(Rule,Rule)",1,1,1
null.contains(String),1,1,1
null.getAny(),1,1,1
null.isEmpty(),1,1,1
null.isMatch(CharSequence),1,1,1
null.isSingleton(),1,1,1
null.merge(LanguageSet),1,1,1
null.restrictTo(LanguageSet),1,1,1
null.toString(),1,1,1
org.apache.commons.codec.BinaryEncoderAbstractTest.testEncodeEmpty(),1,1,1
org.apache.commons.codec.BinaryEncoderAbstractTest.testEncodeNull(),1,1,2
org.apache.commons.codec.CharEncodingTest.testConstructor(),1,1,1
org.apache.commons.codec.CharEncodingTest.testIso8859_1(),1,1,1
org.apache.commons.codec.CharEncodingTest.testUsAscii(),1,1,1
org.apache.commons.codec.CharEncodingTest.testUtf16(),1,1,1
org.apache.commons.codec.CharEncodingTest.testUtf16Be(),1,1,1
org.apache.commons.codec.CharEncodingTest.testUtf16Le(),1,1,1
org.apache.commons.codec.CharEncodingTest.testUtf8(),1,1,1
org.apache.commons.codec.Charsets.toCharset(Charset),1,2,2
org.apache.commons.codec.Charsets.toCharset(String),1,2,2
org.apache.commons.codec.CharsetsTest.testIso8859_1(),1,1,1
org.apache.commons.codec.CharsetsTest.testToCharset(),1,1,1
org.apache.commons.codec.CharsetsTest.testUsAscii(),1,1,1
org.apache.commons.codec.CharsetsTest.testUtf16(),1,1,1
org.apache.commons.codec.CharsetsTest.testUtf16Be(),1,1,1
org.apache.commons.codec.CharsetsTest.testUtf16Le(),1,1,1
org.apache.commons.codec.CharsetsTest.testUtf8(),1,1,1
org.apache.commons.codec.DecoderException.DecoderException(),1,1,1
org.apache.commons.codec.DecoderException.DecoderException(String),1,1,1
"org.apache.commons.codec.DecoderException.DecoderException(String,Throwable)",1,1,1
org.apache.commons.codec.DecoderException.DecoderException(Throwable),1,1,1
org.apache.commons.codec.DecoderExceptionTest.testConstructor0(),1,1,1
org.apache.commons.codec.DecoderExceptionTest.testConstructorString(),1,1,1
org.apache.commons.codec.DecoderExceptionTest.testConstructorStringThrowable(),1,1,1
org.apache.commons.codec.DecoderExceptionTest.testConstructorThrowable(),1,1,1
org.apache.commons.codec.EncoderException.EncoderException(),1,1,1
org.apache.commons.codec.EncoderException.EncoderException(String),1,1,1
"org.apache.commons.codec.EncoderException.EncoderException(String,Throwable)",1,1,1
org.apache.commons.codec.EncoderException.EncoderException(Throwable),1,1,1
org.apache.commons.codec.EncoderExceptionTest.testConstructor0(),1,1,1
org.apache.commons.codec.EncoderExceptionTest.testConstructorString(),1,1,1
org.apache.commons.codec.EncoderExceptionTest.testConstructorStringThrowable(),1,1,1
org.apache.commons.codec.EncoderExceptionTest.testConstructorThrowable(),1,1,1
org.apache.commons.codec.Resources.getInputStream(String),2,1,2
"org.apache.commons.codec.StringEncoderAbstractTest.checkEncoding(String,String)",1,1,1
"org.apache.commons.codec.StringEncoderAbstractTest.checkEncodingVariations(String,String[])",1,2,2
org.apache.commons.codec.StringEncoderAbstractTest.checkEncodings(String[][]),1,2,2
org.apache.commons.codec.StringEncoderAbstractTest.getStringEncoder(),1,1,1
org.apache.commons.codec.StringEncoderAbstractTest.testEncodeEmpty(),1,1,1
org.apache.commons.codec.StringEncoderAbstractTest.testEncodeNull(),1,1,2
org.apache.commons.codec.StringEncoderAbstractTest.testEncodeWithInvalidObject(),1,1,2
org.apache.commons.codec.StringEncoderAbstractTest.testLocaleIndependence(),1,5,5
org.apache.commons.codec.StringEncoderComparator.StringEncoderComparator(),1,1,1
org.apache.commons.codec.StringEncoderComparator.StringEncoderComparator(StringEncoder),1,1,1
"org.apache.commons.codec.StringEncoderComparator.compare(Object,Object)",1,1,2
org.apache.commons.codec.StringEncoderComparatorTest.testComparatorWithDoubleMetaphone(),1,2,2
org.apache.commons.codec.StringEncoderComparatorTest.testComparatorWithDoubleMetaphoneAndInvalidInput(),1,1,1
org.apache.commons.codec.StringEncoderComparatorTest.testComparatorWithSoundex(),1,1,1
org.apache.commons.codec.binary.Base32.Base32(),1,1,1
org.apache.commons.codec.binary.Base32.Base32(boolean),1,1,1
"org.apache.commons.codec.binary.Base32.Base32(boolean,byte)",1,1,1
org.apache.commons.codec.binary.Base32.Base32(byte),1,1,1
org.apache.commons.codec.binary.Base32.Base32(int),1,1,1
"org.apache.commons.codec.binary.Base32.Base32(int,byte[])",1,1,1
"org.apache.commons.codec.binary.Base32.Base32(int,byte[],boolean)",1,1,1
"org.apache.commons.codec.binary.Base32.Base32(int,byte[],boolean,byte)",5,4,8
"org.apache.commons.codec.binary.Base32.decode(byte[],int,int,Context)",6,4,18
"org.apache.commons.codec.binary.Base32.encode(byte[],int,int,Context)",5,7,18
org.apache.commons.codec.binary.Base32.isInAlphabet(byte),1,1,3
org.apache.commons.codec.binary.Base32InputStream.Base32InputStream(InputStream),1,1,1
"org.apache.commons.codec.binary.Base32InputStream.Base32InputStream(InputStream,boolean)",1,1,1
"org.apache.commons.codec.binary.Base32InputStream.Base32InputStream(InputStream,boolean,int,byte[])",1,1,1
org.apache.commons.codec.binary.Base32InputStreamTest.testAvailable(),1,1,1
org.apache.commons.codec.binary.Base32InputStreamTest.testBase32EmptyInputStream(int),1,1,1
org.apache.commons.codec.binary.Base32InputStreamTest.testBase32EmptyInputStreamMimeChuckSize(),1,1,1
org.apache.commons.codec.binary.Base32InputStreamTest.testBase32EmptyInputStreamPemChuckSize(),1,1,1
org.apache.commons.codec.binary.Base32InputStreamTest.testBase32InputStreamByChunk(),1,2,2
org.apache.commons.codec.binary.Base32InputStreamTest.testBase32InputStreamByteByByte(),1,2,2
"org.apache.commons.codec.binary.Base32InputStreamTest.testByChunk(byte[],byte[],int,byte[])",1,1,2
"org.apache.commons.codec.binary.Base32InputStreamTest.testByteByByte(byte[],byte[],int,byte[])",1,4,5
org.apache.commons.codec.binary.Base32InputStreamTest.testCodec105(),1,2,2
org.apache.commons.codec.binary.Base32InputStreamTest.testCodec130(),1,1,1
org.apache.commons.codec.binary.Base32InputStreamTest.testMarkSupported(),1,1,1
org.apache.commons.codec.binary.Base32InputStreamTest.testRead0(),1,1,1
org.apache.commons.codec.binary.Base32InputStreamTest.testReadNull(),1,1,2
org.apache.commons.codec.binary.Base32InputStreamTest.testReadOutOfBounds(),1,1,5
org.apache.commons.codec.binary.Base32InputStreamTest.testSkipBig(),1,1,1
org.apache.commons.codec.binary.Base32InputStreamTest.testSkipNone(),1,1,1
org.apache.commons.codec.binary.Base32InputStreamTest.testSkipPastEnd(),1,1,1
org.apache.commons.codec.binary.Base32InputStreamTest.testSkipToEnd(),1,1,1
org.apache.commons.codec.binary.Base32InputStreamTest.testSkipWrongArgument(),1,1,1
org.apache.commons.codec.binary.Base32OutputStream.Base32OutputStream(OutputStream),1,1,1
"org.apache.commons.codec.binary.Base32OutputStream.Base32OutputStream(OutputStream,boolean)",1,1,1
"org.apache.commons.codec.binary.Base32OutputStream.Base32OutputStream(OutputStream,boolean,int,byte[])",1,1,1
org.apache.commons.codec.binary.Base32OutputStreamTest.testBase32EmptyOutputStream(int),1,1,1
org.apache.commons.codec.binary.Base32OutputStreamTest.testBase32EmptyOutputStreamMimeChunkSize(),1,1,1
org.apache.commons.codec.binary.Base32OutputStreamTest.testBase32EmptyOutputStreamPemChunkSize(),1,1,1
org.apache.commons.codec.binary.Base32OutputStreamTest.testBase32OutputStreamByChunk(),1,2,2
org.apache.commons.codec.binary.Base32OutputStreamTest.testBase32OutputStreamByteByByte(),1,2,2
"org.apache.commons.codec.binary.Base32OutputStreamTest.testByChunk(byte[],byte[],int,byte[])",1,1,2
"org.apache.commons.codec.binary.Base32OutputStreamTest.testByteByByte(byte[],byte[],int,byte[])",1,5,6
org.apache.commons.codec.binary.Base32OutputStreamTest.testWriteOutOfBounds(),1,1,5
org.apache.commons.codec.binary.Base32OutputStreamTest.testWriteToNullCoverage(),1,1,2
org.apache.commons.codec.binary.Base32Test.testBase32BinarySamples(),1,2,3
org.apache.commons.codec.binary.Base32Test.testBase32BinarySamplesReverse(),1,2,2
org.apache.commons.codec.binary.Base32Test.testBase32Chunked(),1,2,2
org.apache.commons.codec.binary.Base32Test.testBase32HexSamples(),1,2,2
org.apache.commons.codec.binary.Base32Test.testBase32HexSamplesReverse(),1,2,2
org.apache.commons.codec.binary.Base32Test.testBase32HexSamplesReverseLowercase(),1,2,2
org.apache.commons.codec.binary.Base32Test.testBase32Samples(),1,2,2
org.apache.commons.codec.binary.Base32Test.testBase32SamplesNonDefaultPadding(),1,2,2
org.apache.commons.codec.binary.Base32Test.testBase64AtBufferEnd(),1,1,1
org.apache.commons.codec.binary.Base32Test.testBase64AtBufferMiddle(),1,1,1
org.apache.commons.codec.binary.Base32Test.testBase64AtBufferStart(),1,1,1
"org.apache.commons.codec.binary.Base32Test.testBase64InBuffer(int,int)",1,2,2
org.apache.commons.codec.binary.Base32Test.testCodec200(),1,1,1
org.apache.commons.codec.binary.Base32Test.testRandomBytes(),1,2,2
org.apache.commons.codec.binary.Base32Test.testRandomBytesChunked(),1,2,2
org.apache.commons.codec.binary.Base32Test.testRandomBytesHex(),1,2,2
org.apache.commons.codec.binary.Base32Test.testSingleCharEncoding(),1,4,4
"org.apache.commons.codec.binary.Base32TestData.bytesContain(byte[],byte)",3,1,3
"org.apache.commons.codec.binary.Base32TestData.fill(byte[],int,InputStream)",1,2,5
"org.apache.commons.codec.binary.Base32TestData.randomData(BaseNCodec,int)",1,1,1
org.apache.commons.codec.binary.Base32TestData.resizeArray(byte[]),1,1,1
org.apache.commons.codec.binary.Base32TestData.streamToBytes(InputStream),1,1,1
"org.apache.commons.codec.binary.Base32TestData.streamToBytes(InputStream,byte[])",1,3,3
org.apache.commons.codec.binary.Base64.Base64(),1,1,1
org.apache.commons.codec.binary.Base64.Base64(boolean),1,1,1
org.apache.commons.codec.binary.Base64.Base64(int),1,1,1
"org.apache.commons.codec.binary.Base64.Base64(int,byte[])",1,1,1
"org.apache.commons.codec.binary.Base64.Base64(int,byte[],boolean)",3,4,6
"org.apache.commons.codec.binary.Base64.decode(byte[],int,int,Context)",6,4,15
org.apache.commons.codec.binary.Base64.decodeBase64(String),1,1,1
org.apache.commons.codec.binary.Base64.decodeBase64(byte[]),1,1,1
org.apache.commons.codec.binary.Base64.decodeInteger(byte[]),1,1,1
"org.apache.commons.codec.binary.Base64.encode(byte[],int,int,Context)",5,7,18
org.apache.commons.codec.binary.Base64.encodeBase64(byte[]),1,1,1
"org.apache.commons.codec.binary.Base64.encodeBase64(byte[],boolean)",1,1,1
"org.apache.commons.codec.binary.Base64.encodeBase64(byte[],boolean,boolean)",1,1,1
"org.apache.commons.codec.binary.Base64.encodeBase64(byte[],boolean,boolean,int)",3,1,5
org.apache.commons.codec.binary.Base64.encodeBase64Chunked(byte[]),1,1,1
org.apache.commons.codec.binary.Base64.encodeBase64String(byte[]),1,1,1
org.apache.commons.codec.binary.Base64.encodeBase64URLSafe(byte[]),1,1,1
org.apache.commons.codec.binary.Base64.encodeBase64URLSafeString(byte[]),1,1,1
org.apache.commons.codec.binary.Base64.encodeInteger(BigInteger),2,1,2
org.apache.commons.codec.binary.Base64.isArrayByteBase64(byte[]),1,1,1
org.apache.commons.codec.binary.Base64.isBase64(String),1,1,1
org.apache.commons.codec.binary.Base64.isBase64(byte),1,1,4
org.apache.commons.codec.binary.Base64.isBase64(byte[]),3,3,4
org.apache.commons.codec.binary.Base64.isInAlphabet(byte),1,1,3
org.apache.commons.codec.binary.Base64.isUrlSafe(),1,1,1
org.apache.commons.codec.binary.Base64.toIntegerBytes(BigInteger),2,2,4
org.apache.commons.codec.binary.Base64Codec13Test.initBYTES(),1,1,1
org.apache.commons.codec.binary.Base64Codec13Test.initCHUNKED_STRINGS(),1,1,1
org.apache.commons.codec.binary.Base64Codec13Test.initSTRINGS(),1,1,1
org.apache.commons.codec.binary.Base64Codec13Test.testBinaryDecoder(),1,3,3
org.apache.commons.codec.binary.Base64Codec13Test.testBinaryEncoder(),1,3,3
org.apache.commons.codec.binary.Base64Codec13Test.testDecoder(),1,3,3
org.apache.commons.codec.binary.Base64Codec13Test.testEncoder(),1,3,3
org.apache.commons.codec.binary.Base64Codec13Test.testStaticDecode(),1,3,3
org.apache.commons.codec.binary.Base64Codec13Test.testStaticDecodeChunked(),1,3,3
org.apache.commons.codec.binary.Base64Codec13Test.testStaticEncode(),1,3,3
org.apache.commons.codec.binary.Base64Codec13Test.testStaticEncodeChunked(),1,3,3
org.apache.commons.codec.binary.Base64Codec13Test.utf8(String),1,2,2
org.apache.commons.codec.binary.Base64InputStream.Base64InputStream(InputStream),1,1,1
"org.apache.commons.codec.binary.Base64InputStream.Base64InputStream(InputStream,boolean)",1,1,1
"org.apache.commons.codec.binary.Base64InputStream.Base64InputStream(InputStream,boolean,int,byte[])",1,1,1
org.apache.commons.codec.binary.Base64InputStreamTest.testAvailable(),1,1,1
org.apache.commons.codec.binary.Base64InputStreamTest.testBase64EmptyInputStream(int),1,1,1
org.apache.commons.codec.binary.Base64InputStreamTest.testBase64EmptyInputStreamMimeChuckSize(),1,1,1
org.apache.commons.codec.binary.Base64InputStreamTest.testBase64EmptyInputStreamPemChuckSize(),1,1,1
org.apache.commons.codec.binary.Base64InputStreamTest.testBase64InputStreamByChunk(),1,2,2
org.apache.commons.codec.binary.Base64InputStreamTest.testBase64InputStreamByteByByte(),1,2,2
"org.apache.commons.codec.binary.Base64InputStreamTest.testByChunk(byte[],byte[],int,byte[])",1,1,2
"org.apache.commons.codec.binary.Base64InputStreamTest.testByteByByte(byte[],byte[],int,byte[])",1,4,5
org.apache.commons.codec.binary.Base64InputStreamTest.testCodec101(),1,1,1
org.apache.commons.codec.binary.Base64InputStreamTest.testCodec105(),1,2,2
org.apache.commons.codec.binary.Base64InputStreamTest.testCodec130(),1,1,1
org.apache.commons.codec.binary.Base64InputStreamTest.testCodec98NPE(),1,1,1
org.apache.commons.codec.binary.Base64InputStreamTest.testInputStreamReader(),1,1,1
org.apache.commons.codec.binary.Base64InputStreamTest.testMarkSupported(),1,1,1
org.apache.commons.codec.binary.Base64InputStreamTest.testRead0(),1,1,1
org.apache.commons.codec.binary.Base64InputStreamTest.testReadNull(),1,1,2
org.apache.commons.codec.binary.Base64InputStreamTest.testReadOutOfBounds(),1,1,5
org.apache.commons.codec.binary.Base64InputStreamTest.testSkipBig(),1,1,1
org.apache.commons.codec.binary.Base64InputStreamTest.testSkipNone(),1,1,1
org.apache.commons.codec.binary.Base64InputStreamTest.testSkipPastEnd(),1,1,1
org.apache.commons.codec.binary.Base64InputStreamTest.testSkipToEnd(),1,1,1
org.apache.commons.codec.binary.Base64InputStreamTest.testSkipWrongArgument(),1,1,1
org.apache.commons.codec.binary.Base64OutputStream.Base64OutputStream(OutputStream),1,1,1
"org.apache.commons.codec.binary.Base64OutputStream.Base64OutputStream(OutputStream,boolean)",1,1,1
"org.apache.commons.codec.binary.Base64OutputStream.Base64OutputStream(OutputStream,boolean,int,byte[])",1,1,1
org.apache.commons.codec.binary.Base64OutputStreamTest.testBase64EmptyOutputStream(int),1,1,1
org.apache.commons.codec.binary.Base64OutputStreamTest.testBase64EmptyOutputStreamMimeChunkSize(),1,1,1
org.apache.commons.codec.binary.Base64OutputStreamTest.testBase64EmptyOutputStreamPemChunkSize(),1,1,1
org.apache.commons.codec.binary.Base64OutputStreamTest.testBase64OutputStreamByChunk(),1,2,2
org.apache.commons.codec.binary.Base64OutputStreamTest.testBase64OutputStreamByteByByte(),1,2,2
"org.apache.commons.codec.binary.Base64OutputStreamTest.testByChunk(byte[],byte[],int,byte[])",1,1,2
"org.apache.commons.codec.binary.Base64OutputStreamTest.testByteByByte(byte[],byte[],int,byte[])",1,5,6
org.apache.commons.codec.binary.Base64OutputStreamTest.testCodec98NPE(),1,1,1
org.apache.commons.codec.binary.Base64OutputStreamTest.testWriteOutOfBounds(),1,1,5
org.apache.commons.codec.binary.Base64OutputStreamTest.testWriteToNullCoverage(),1,1,2
org.apache.commons.codec.binary.Base64Test.getRandom(),1,1,1
org.apache.commons.codec.binary.Base64Test.testBase64(),1,1,1
org.apache.commons.codec.binary.Base64Test.testBase64AtBufferEnd(),1,1,1
org.apache.commons.codec.binary.Base64Test.testBase64AtBufferMiddle(),1,1,1
org.apache.commons.codec.binary.Base64Test.testBase64AtBufferStart(),1,1,1
"org.apache.commons.codec.binary.Base64Test.testBase64InBuffer(int,int)",1,1,1
org.apache.commons.codec.binary.Base64Test.testByteToStringVariations(),1,1,1
org.apache.commons.codec.binary.Base64Test.testChunkedEncodeMultipleOf76(),1,1,1
org.apache.commons.codec.binary.Base64Test.testCodeInteger1(),1,1,1
org.apache.commons.codec.binary.Base64Test.testCodeInteger2(),1,1,1
org.apache.commons.codec.binary.Base64Test.testCodeInteger3(),1,1,1
org.apache.commons.codec.binary.Base64Test.testCodeInteger4(),1,1,1
org.apache.commons.codec.binary.Base64Test.testCodeIntegerEdgeCases(),1,1,1
org.apache.commons.codec.binary.Base64Test.testCodeIntegerNull(),1,2,3
org.apache.commons.codec.binary.Base64Test.testCodec112(),1,1,1
org.apache.commons.codec.binary.Base64Test.testCodec68(),1,1,1
org.apache.commons.codec.binary.Base64Test.testConstructor_Int_ByteArray_Boolean(),1,1,1
org.apache.commons.codec.binary.Base64Test.testConstructor_Int_ByteArray_Boolean_UrlSafe(),1,1,1
org.apache.commons.codec.binary.Base64Test.testConstructors(),1,1,5
